# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
    1349.415       99.900     4944.715    21138.742
    1351.416       99.900     4944.715    21138.742
    1353.419      100.400     4944.715    21138.742
    1355.421       99.900     4944.715    21138.742
    1357.423       99.900     4944.715    21138.742
    1359.425      100.400     4944.715    21138.742
    1361.428       99.900     4944.715    21138.742
    1363.430       99.900     4944.715    21138.742
    1365.432       99.900     4944.715    21138.742
    1367.434      100.400     4944.715    21138.742
    1369.437       99.900     4944.715    21138.742
    1371.439       99.900     4944.715    21138.742
    1373.441      100.400     4944.715    21138.742
    1375.443       99.900     4944.715    21138.742
    1377.445       99.900     4944.715    21138.742
    1379.448       99.900     4944.715    21138.742
    1381.448      100.500     4944.715    21138.742
    1383.451       99.900     4944.715    21138.742
    1385.453      100.400     4944.715    21138.742
    1387.455       99.900     4944.715    21138.742
    1389.456       99.900     4944.715    21138.742
    1391.459       99.900     4944.715    21138.742
    1393.460      100.400     4944.715    21138.742
    1395.463       99.900     4944.715    21138.742
    1397.465       99.900     4944.715    21138.742
    1399.467       99.900     4944.715    21138.742
    1401.468      100.400     4944.715    21138.742
    1403.471       99.900     4944.715    21138.742
    1405.473      100.400     4944.715    21138.742
    1407.475       99.900     4944.715    21138.742
    1409.477       99.900     4944.715    21138.742
    1411.480       99.900     4944.715    21138.742
    1413.482      100.400     4944.715    21138.742
    1415.484       99.900     4944.715    21138.742
    1417.486      100.400     4944.715    21138.742
    1419.489       99.900     4944.715    21138.742
    1421.491       99.900     4944.715    21138.742
    1423.493      100.400     4944.715    21138.742
    1425.495       99.900     4944.715    21138.742
    1427.497       99.900     4944.715    21138.742
    1429.499       99.900     4944.715    21138.742
    1431.500      100.400     4944.715    21138.742
    1433.503       99.900     4944.715    21138.742
